-42.73	-28.8	1.26
-32.27	-28.8	1.26
-30.6	-27	1.26
-37.04	-27	1.26
-37.96	-27	1.26
-44.4	-27	1.26
-45.1	-25.2	1.26
-38.67	-25.2	1.26
-38.85	-23.4	1.26
-45.11	-23.4	1.26
-44.43	-21.6	1.26
-30.57	-21.6	1.26
-32.19	-19.8	1.26
-42.81	-19.8	1.26
-36.32	-23.4	1.26
-29.89	-23.4	1.26
-29.9	-25.2	1.26
-36.33	-25.2	1.26
-45.4	-1.8	1.26
-67.75	-1.8	1.26
-67.75	0	1.26
-45.4	0	1.26
-45.4	1.8	1.26
-67.75	1.8	1.26
-67.75	3.6	1.26
-45.4	3.6	1.26
-45.4	5.4	1.26
-67.75	5.4	1.26
-67.75	7.2	1.26
-45.4	7.2	1.26
-45.4	9	1.26
-67.75	9	1.26
-67.75	10.8	1.26
-45.4	10.8	1.26
-45.4	12.6	1.26
-67.75	12.6	1.26
-67.75	14.4	1.26
-45.4	14.4	1.26
-45.4	16.2	1.26
-67.75	16.2	1.26
-67.75	18	1.26
-45.4	18	1.26
-45.4	19.8	1.26
-67.75	19.8	1.26
-67.75	21.6	1.26
-45.4	21.6	1.26
-45.4	23.4	1.26
-67.75	23.4	1.26
-67.75	25.2	1.26
-45.4	25.2	1.26
-44.6	25.06	1.26
-44.6	28.71	1.26
-37.5	35.83	1.26
-29.37	25.11	1.26
-15.68	14.43	1.26
-14.77	14.4	1.26
14.77	14.4	1.26
14.03	13.34	1.26
13.56	12.96	1.26
12.76	12.6	1.26
-12.76	12.6	1.26
-12.76	10.8	1.26
12.76	10.8	1.26
12.76	9	1.26
-12.76	9	1.26
-12.76	7.2	1.26
12.76	7.2	1.26
12.76	5.4	1.26
-12.76	5.4	1.26
-12.76	3.6	1.26
12.76	3.6	1.26
12.76	1.8	1.26
-12.76	1.8	1.26
-12.76	0	1.26
12.76	0	1.26
12.76	-1.8	1.26
-12.76	-1.8	1.26
30.57	-21.6	1.26
37.61	-21.6	1.26
37.67	-21.6	1.26
44.43	-21.6	1.26
45.1	-23.4	1.26
38.53	-23.4	1.26
38.85	-25.2	1.26
45.09	-25.2	1.26
44.41	-27	1.26
38.05	-27	1.26
36.78	-27	1.26
30.6	-27	1.26
29.91	-25.2	1.26
36.21	-25.2	1.26
32.3	-28.8	1.26
42.72	-28.8	1.26
42.79	-19.8	1.26
32.19	-19.8	1.26
45.4	-1.8	1.26
67.75	-1.8	1.26
67.75	0	1.26
45.4	0	1.26
45.4	1.8	1.26
67.75	1.8	1.26
67.75	3.6	1.26
45.4	3.6	1.26
45.4	5.4	1.26
67.75	5.4	1.26
67.75	7.2	1.26
45.4	7.2	1.26
45.4	9	1.26
67.75	9	1.26
67.75	10.8	1.26
45.4	10.8	1.26
45.4	12.6	1.26
67.75	12.6	1.26
67.75	14.4	1.26
45.4	14.4	1.26
45.4	16.2	1.26
67.75	16.2	1.26
67.75	18	1.26
45.4	18	1.26
45.4	19.8	1.26
67.75	19.8	1.26
67.75	21.6	1.26
45.4	21.6	1.26
45.4	23.4	1.26
67.75	23.4	1.26
67.75	25.2	1.26
45.4	25.2	1.26
15.37	-1.03	1.26
-15.56	-1.03	1.26
-29.9	-2.2	1.26
-33.88	-17.94	1.26
-39.46	-17.46	1.26
-43.55	-19.34	1.26
-45.73	-22.52	1.26
-45.76	-32.69	1.26
-45.67	-32.78	1.26
-44.12	-34.04	1.26
-42.37	-35.02	1.26
-40.48	-35.69	1.26
-38.5	-36.03	1.26
-36.5	-36.03	1.26
-34.52	-35.69	1.26
-32.63	-35.02	1.26
-30.88	-34.04	1.26
-29.32	-32.78	1.26
-28	-31.27	1.26
-26.95	-29.56	1.26
-26.21	-27.7	1.26
-25.79	-25.74	1.26
-25.71	-23.74	1.26
-25.97	-21.75	1.26
-26.57	-19.84	1.26
-27.48	-18.05	1.26
-28.67	-16.44	1.26
-30.2	-14.99	1.26
-30.18	-3.07	1.26
-30.13	-2.86	1.26
-30.04	-2.67	1.26
-29.92	-2.5	1.26
-29.77	-2.35	1.26
-29.6	-2.23	1.26
-29.41	-2.14	1.26
-29.2	-2.09	1.26
-13.36	-2.07	1.26
-13.36	13.53	1.26
-14.48	13.54	1.26
-14.69	13.6	1.26
-14.88	13.69	1.26
-15.05	13.8	1.26
-15.2	13.95	1.26
-15.32	14.12	1.26
-16.12	15.82	1.26
-17.03	17.14	1.26
-18.16	18.33	1.26
-19.96	19.73	1.26
-22.46	21.17	1.26
-26.69	23.2	1.26
-28.03	24.03	1.26
-28.7	24.61	1.26
-29.21	25.22	1.26
-29.62	25.91	1.26
-29.93	26.72	1.26
-30.13	27.65	1.26
-30.31	30	1.26
-30.64	31.22	1.26
-31.18	32.38	1.26
-31.91	33.42	1.26
-32.81	34.32	1.26
-33.85	35.05	1.26
-35	35.59	1.26
-36.23	35.92	1.26
-37.5	36.03	1.26
-38.77	35.92	1.26
-40	35.59	1.26
-41.15	35.05	1.26
-42.19	34.32	1.26
-43.09	33.42	1.26
-43.82	32.38	1.26
-44.36	31.22	1.26
-44.69	30	1.26
-44.8	28.72	1.26
-44.8	-14.99	1.26
-46.33	-16.44	1.26
-47.52	-18.05	1.26
-48.43	-19.84	1.26
-49.03	-21.75	1.26
-49.29	-23.74	1.26
-49.21	-25.74	1.26
-48.79	-27.7	1.26
-48.05	-29.56	1.26
-47	-31.27	1.26
-45.76	-32.69	1.26
-42.91	-29.42	1.26
-43.01	-29.35	1.26
-43.6	-28.89	1.26
-44.25	-28.24	1.26
-44.8	-27.5	1.26
-45.2	-26.82	1.26
-45.53	-26	1.26
-45.73	-25.15	1.26
-45.8	-24.27	1.26
-45.74	-23.43	1.26
-45.54	-22.58	1.26
-45.18	-21.7	1.26
-44.76	-20.97	1.26
-44.17	-20.22	1.26
-43.42	-19.5	1.26
-42.54	-18.86	1.26
-41.69	-18.4	1.26
-40.59	-17.96	1.26
-39.42	-17.66	1.26
-38.28	-17.51	1.26
-37.18	-17.48	1.26
-36	-17.58	1.26
-35.06	-17.77	1.26
-33.95	-18.12	1.26
-32.93	-18.6	1.26
-32.04	-19.15	1.26
-31.39	-19.66	1.26
-30.75	-20.31	1.26
-30.18	-21.05	1.26
-29.79	-21.75	1.26
-29.47	-22.55	1.26
-29.27	-23.4	1.26
-29.2	-24.27	1.26
-29.26	-25.1	1.26
-29.47	-26	1.26
-29.81	-26.83	1.26
-30.23	-27.56	1.26
-30.82	-28.31	1.26
-31.58	-29.04	1.26
-32.45	-29.68	1.26
-33.31	-30.14	1.26
-34.4	-30.58	1.26
-35.57	-30.89	1.26
-36.58	-31.02	1.26
-37.78	-31.07	1.26
-39	-30.96	1.26
-40.13	-30.72	1.26
-41.04	-30.43	1.26
-42.05	-29.96	1.26
-42.83	-29.49	1.26
-42.91	-29.42	1.26
-43.73	-29.04	1.26
-45.93	-25.18	1.26
-38.14	24.38	1.26
-38.26	24.39	1.26
-39.01	24.59	1.26
-39.7	24.92	1.26
-40.33	25.36	1.26
-40.87	25.9	1.26
-41.31	26.53	1.26
-41.64	27.22	1.26
-41.83	27.96	1.26
-41.9	28.73	1.26
-41.83	29.49	1.26
-41.64	30.23	1.26
-41.31	30.93	1.26
-40.87	31.56	1.26
-40.33	32.1	1.26
-39.7	32.54	1.26
-39.01	32.86	1.26
-38.26	33.06	1.26
-37.5	33.13	1.26
-36.74	33.06	1.26
-35.99	32.86	1.26
-35.3	32.54	1.26
-34.67	32.1	1.26
-34.13	31.56	1.26
-33.69	30.93	1.26
-33.36	30.23	1.26
-33.17	29.49	1.26
-33.1	28.73	1.26
-33.17	27.96	1.26
-33.36	27.22	1.26
-33.69	26.53	1.26
-34.13	25.9	1.26
-34.67	25.36	1.26
-35.3	24.92	1.26
-35.99	24.59	1.26
-36.74	24.39	1.26
-37.5	24.33	1.26
-38.14	24.38	1.26
